Estacao;Tmax_C;Tmin_C;Umidade_relativa;LAT;LONG
A203;31,034010737993746;24,327465699750434;81,65161392166206;-2,526667;-44,213611
A204;32,06126089900976;23,316888295542757;76,48457256276829;-7,455556;-46,0275
A205;33,536718251680725;22,531315848799355;67,72900927301222;-7,337222;-47,459722
A206;34,07512977512443;23,22276830067971;71,88005186087749;-3,742778;-43,352222
A207;33,58868007956155;22,45437385192284;62,602775414444906;-5,816111;-46,162222
A217;30,95173825160036;26,06420825310183;74,90660359708316;-2,270833;-43,624167
A218;30,61639049775851;25,372458408994174;74,58435856303086;-2,592222;-42,7075
A219;31,094000356600986;24,281297648669902;81,6817201235057;-1,661111;-45,3725
A220;33,992952162044546;23,305766419291853;71,53599605046189;-4,243056;-44,795
A221;33,65242528099576;22,226222147309397;68,30386219428753;-5,506667;-45,236944
A223;34,291358547013694;20,3164400531094;64,21651300513308;-6,033056;-44,233333
A224;33,47070828819139;20,54419449906368;74,80755686031615;-9,108333;-45,931944
A225;33,96586238432284;22,280443104735948;69,895323185015;-6,653333;-47,418333
A237;34,05595735227313;21,902196225386472;72,3233091578913;-5,555833;-47,459722
A238;32,82128316517508;22,35550300739928;69,4461435960443;-4,821389;-43,343611
A255;33,27463050373808;23,276157665807446;78,00231374145835;-4,320556;-46,449444
A301;30,06499956527093;22,399833485768564;77,14773676100192;-3,269167;-45,651111
A303;30,204007368256587;22,128733272872026;78,2256225010129;-8,059167;-34,959167
A304;29,665547461906105;23,857306725688854;76,6431583217626;-9,551111;-35,770278
A305;31,405418108360028;24,202406740469176;72,40110153159526;-5,837222;-35,208056
A307;32,808428224352305;22,278771297887207;53,69335197154112;-3,815833;-38,537778
A308;33,55658355688014;23,159851505063806;76,04742701369713;-3,748056;-40,345833
A309;30,270632211966852;18,914614893535976;67,57396518731764;-9,388333;-40,523333
A310;27,577868400168402;19,785293204751884;83,53025192200425;-3,086667;-41,783056
A311;34,984646934833364;23,605012556056565;58,975792964700936;-8,433611;-37,055556
A312;34,2154978558041;22,961006295157855;68,58056551879874;-6,975451;-35,718128
A313;29,40537052901504;20,43151363469191;77,35923556845624;-6,761389;-43,003333
A314;26,460579486997435;18,637731150709705;84,5961162245626;-5,034722;-42,801389
A315;32,76976953088054;21,35350135247598;60,44774310934804;-7,225574;-35,904831
A316;35,132899940046556;23,229198990457572;55,83743940128086;-4,229167;-38,958889
A317;33,2950145327973;23,355445906339167;68,23289766331875;-7,300833;-39,271111
A318;32,778360293542775;22,74930486060716;70,27190830564008;-6,4675;-37,085
A319;33,537203995894025;22,466639935921666;59,873271659897156;-5,151111;-36,573056
A320;30,237637430703355;23,750186393605105;74,87547781262688;-4,904167;-37,366944
A321;34,70529955116971;22,537029366262896;52,412858722036944;-6,396389;-39,268889
A322;27,08699122842605;18,10988353188103;81,02610268063773;-7,165278;-34,815556
A323;34,124002184972724;22,452808641906255;65,32468624580503;-7,079722;-37,272778
A324;33,344694561196135;21,98378089732543;56,28923949975059;-8,910833;-36,493333
A325;34,015928951367734;23,001672571230433;60,05353172787943;-9,749167;-37,430833
A326;34,71727543165633;21,225475673781258;56,146963804230516;-6,0175;-40,281389
A327;31,434893189434227;21,238664484135082;72,13108454202687;-5,174444;-39,289444
A328;30,291575766623907;20,21736866153648;75,35147814374578;-9,083333;-44,326389
A329;33,01852395852584;22,278685720915252;55,27145270699154;-9,420278;-36,620278
A330;33,56694428695378;23,01517008131912;51,11540489935279;-7,839722;-35,801111
A331;35,16070202407761;23,062998633004636;47,58240263791946;-8,503889;-39,315278
A332;34,722483924546665;22,632228665176676;64,2899533221607;-8,132288;-41,142945
A333;34,207246338943676;21,511025271821918;58,393317605685795;-8,364444;-42,2525
A334;31,64383869912096;19,517329639631523;61,72882203404083;-5,091111;-38,364722
A335;35,07492791620881;22,697438353052444;67,35601685893653;-6,835777;-38,311583
A336;34,35874822030935;21,4232996563668;56,12808361123407;-7,894444;-37,124722
A337;33,10501313160846;19,87434301745328;60,95109390843445;-4,276111;-41,794444
A339;34,37058259148378;23,350841662151012;66,03115037757182;-8,441667;-43,865556
A340;35,03562284445398;23,161714350601077;60,24536070926801;-9,285833;-43,324444
A341;28,766451612065442;18,90224896915237;76,43476068550491;-4,786944;-37,766667
A342;34,73391225160555;22,835826158840803;57,67605084700704;-5,626667;-37,815
A343;35,4163478457706;22,55418638817796;53,50567703532333;-8,365278;-36,028333
A344;29,98401945881881;23,836430159169048;71,23610785892267;-5,186667;-40,672222
A345;33,91167481131998;20,386949602983023;53,935705835153186;-7,071111;-41,404167
A346;33,19857094172378;21,299267043106646;60,915056334045204;-5,16;-35,4875
A347;32,091487179075585;20,576296272482434;62,53194906565836;-9,033056;-42,701111
A348;32,209891290948846;20,689825728289343;66,93600157526895;-7,441389;-44,345
A349;32,953922352584456;20,372532936764816;59,04763358888311;-7,077778;-40,362778
A350;32,29772470197409;20,720471843314975;56,68312793031536;-7,483333;-36,286389
A350;32,29772470197409;20,720471843314975;56,68312793031536;-8,509444;-37,711667
A351;33,71202741929215;22,02028176275012;56,819658948526396;-7,954167;-38,295
A352;29,9656765410404;21,66550685300534;77,6618172460585;-8,598889;-38,584167
A353;30,636305004666074;20,533832728068855;75,40776158551853;-6,561944;-35,135278
A354;35,01209578496138;21,75977459539237;61,09715611092948;-9,804444;-36,619167
A355;30,726579418074767;22,997175752855664;76,66892671906172;-6,974167;-42,146944
A356;30,291671776079447;21,448051641096352;82,3441990148929;-10,128611;-36,286389
A357;31,24239491384782;21,226210653492313;79,40041018835035;-9,2875;-35,565833
A358;35,83120163483632;24,010020176227364;55,279093662912466;-8,666667;-35,568056
A359;33,267773578631946;24,61235974838168;67,37819092021469;-5,905556;-38,627778
A360;33,08755012798127;23,021989936248318;75,79046941759154;-3,484167;-39,588611
A361;34,82838355400374;21,729005721132427;57,2104333122754;-3,121111;-40,087222
A363;34,76558319575631;22,049499079005617;57,55582386800181;-5,349167;-41,512222
A364;33,576869643458224;22,692322323479893;59,01342938507037;-6,399167;-41,74
A365;33,853771349640894;21,611752637336757;54,92406536002984;-9,875278;-45,345833
A366;32,5189191286892;21,179564962726584;54,27269830260172;-8,118056;-42,975833
A367;32,895801449964196;21,874132858123442;64,78360489617562;-7,885833;-40,102778
A368;28,847891148210927;19,421535327217878;77,83247589042813;-6,228056;-36,026667
A369;33,98536360108932;22,299846581064383;70,55867266476025;-3,732222;-41,011944
A370;33,78351562377017;21,99374852420307;59,0285191333475;-4,978889;-39,057222
A371;33,63070147560309;22,324697962234392;67,2024034388751;-8,058056;-39,096111
A372;35,0046849132238;21,524932020794026;67,47517564574801;-9,622222;-37,767222
A373;34,24428833675337;22,421040787498967;61,66112911484029;-5,535;-36,872222
A374;33,17642645893115;19,87616542852917;67,08990812054846;-7,318333;-38,140833
A375;32,71953119852931;21,314148408911795;63,07119230898121;-10,429167;-45,173056
A376;34,871579906315624;22,777626234159747;63,08665286269078;-8,333531;-45,094625
A377;35,17078685140634;21,106376266001366;61,83252675300647;-4,864167;-42,145556
A401;29,74815183017097;23,55120989024667;76,4015708425155;-6,089444;-42,7275
A402;32,568705141143326;19,529945853057313;63,32622532533079;-13,005515;-38,50576
A404;30,827626025685785;17,45101120366827;64,41579072867968;-12,124722;-45,026944
A405;29,01343360871473;21,345054615322525;79,74485240667929;-12,1525;-45,829722
A406;29,572039264069645;20,770953157590377;78,4981682075422;-17,739444;-39,258611
A407;27,291280844432162;17,27893676768459;80,63210332246723;-12,675556;-39,089444
A408;31,862097633860817;21,184744173286226;72,29920111095282;-13,527778;-40,119722
A409;29,885663793803474;24,093956793420414;72,15301387852291;-12,524167;-40,299722
A410;28,40799883784079;20,308078207946625;83,61034233403858;-10,9525;-37,054444
A412;31,18838004135958;20,174395022222974;71,05205467101514;-14,658889;-39,181389
A413;30,835035515894013;20,26439495688268;74,36340820854744;-12,131667;-40,354167
A414;26,77614622285252;16,084055007145185;79,27369274986512;-12,196111;-38,9675
A415;33,699886345567776;19,51268095882509;58,69976627288272;-14,886389;-40,801389
A416;32,61491810266724;18,085742408145794;69,63240324899125;-11,003333;-44,536389
A417;30,04435169125768;21,146277546118643;76,79476522994413;-13,3325;-44,6175
A418;33,51898303875053;20,906353778557236;56,35424902744798;-11,2725;-37,795
A419;31,174844973683538;20,25325730887824;74,40102440941216;-13,251111;-43,405278
A420;31,078807143263035;20,430843372183094;76,53814008788517;-10,738056;-38,108333
A421;30,771622682168807;22,804300374679435;78,0177830482848;-10,399722;-37,7475
A422;27,57327437328858;24,11392886182875;77,50138976846829;-10,473889;-36,481944
A423;32,438547090739775;22,813250759618796;54,23906069110228;-17,963056;-38,703333
